category,sub_category,crimeaditionalinfo
Any Other Cyber Crime,Other,"Sir
im getting continous call from this  numbers    and they are continously callig and harassing me and abusing and sending contact list on my watsup and thretening that they will call my contacts and watsup them sir pls kindly do the needful
warm regards
raza
"
Online and Social Media Related Crime,Cheating by Impersonation,"sir i made a online transaction using my phonepay on st january  but later i came to know that i am cheated 
so yesterday i raised a complaint and the number is 
as i had not uploaded the supporting documents i am raising a fresh complaint today you can find the address contact number and also i the reply from phonepay 
so please do the needful
regards
aravind"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Fraud Number  
Received a call from above mentioned mobile number All lady was talking to me as RBL credit card customer care executive i was shocked after the completion of call she is a fraud"
Online and Social Media Related Crime,Profile Hacking Identity Theft,Hello actually mera Twitter account mere gaming account se connect tha BGMI ka to mera ek dost tha use mne khelne ke liye account diya Mere BGMI ke account me mere do social media accounts attached the ek to twitter or ke Gmail Usne gmail account remove krke twitter ka number or username change kardiya Or ab m na to twitter access karpa rha hu or na hi BGMI Account
Online Financial Fraud,DematDepository Fraud,A person vinit yadav as the excutive of the company call for demant account open he also told me for investment other the company of mgm udaipur I opened the demant account andmney with  at  oct  he give me  of  investment after one week he told me increase investment with  with emi then profit will credit then you will pay the emi i agree its says and investemnt more but after one week my profit do not released  he told that after pay emi then payment releasedi does not agree his word and i say to refund my money He said that in  days your money will refund but after  days money will not refunded and person take my call
Online Financial Fraud,UPI Related Frauds,Anonymous Caller under the pretense of Pradhanmantri Awas Awantan Yojna fraudlently Taken  through UPI                 UPI     
Online and Social Media Related Crime,Profile Hacking Identity Theft,Sir he send one mail by touching that my phone got reset and he scammed my k id of freefire which was conected to Facebook My favebook was connected to instagram he accessed to my Instagram account and he is trying to scam peoples by my instagram account that guy belongs to tamilnadu his name is sajiv milton
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGH   DEBIT CARD  
BANK  State Bank of India
ACCOUNT NUMBER   
TOTAL AMOUNT   
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTIONCouster care"
Online Financial Fraud,UPI Related Frauds,FINENCIAL FRAUD
Any Other Cyber Crime,Other,"Respected Team
I have mention a society details
NameTAPASIL JATI ADIBASIPRAKTAN SAINIK KRISHIBIKASH SHILPA KENDRA
Unique Id of VONGOWB
Address SARADA PARK HOCHI MINH SARANI POJOTESHIBRAMPUR
PSMAHESHTALA KOLKATA
City KOLKATA
State WEST BENGAL
Mobile No 
whatsap 
Websitehttpstjapskbskorgin
Email tjapskbskgovingmailcom
They are claiming in their website this ngo is Undertaken by The then Ministry of Rural DevelopmentThis is completely wronginformationKalyan kumar maity Who runs this website
I want to demand the closure ofthe website
I want your punishment for lying like this on such a website"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PHONEPE
BANK  BANK OF BARODA 
ACCOUNT NUMBER  
TOTAL AMOUNT   				
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Instagram
The victim came across an Instagram ID which advertised for online trading and earning high income The suspect asked the victim to pay him amount initially to earn return The victim paid this amount and was duped Suspected Instagram profile ID  httpsinstagramcomdilshersinghutmmediumcopylink"
Any Other Cyber Crime,Other,I had downloaded this app called as Koko loan app and I filled in my details to check the eligibility but without any intimation they approved the loan and credited Rs  approx for  days period They did not call for recovery or send any message They directly started sending WhatsApp message and started harrasment They are threatening me that they will circulate my pics and will contact my people from my contact list as they have access to my contact list Plz look into this matter as I will not be able to handle this embarrassment and I will take some wrong step I can pay their  immediately Plz help me
Child Pornography CPChild Sexual Abuse Material CSAM,,"  calling ki bad me video bana kar Meri friend list me bhej di  or mujse pese ki dimand kar raha hai so please take any action immediately thank you
Meri friend list ko save Karne ki kripa kare apki ati dya hogi jisse me apni Id surshit kar saku"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Suspect sent request on facebook claiming to be a junior from my college Suspect video called me claiming to belong to my  and edited a screen recording and sharing it with others in my facebook friend list  threatening to post it online I got a call from a guy and then message asking for a ransom of  Rs to not post the video online
Online Financial Fraud,Internet Banking Related Fraud,"                   Amazon                                                                          


BANK STATE BANK OF INDIA 


ACCOUNT NUMBER 


TOTAL AMOUNT 


PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,The particular user reach out to me in Facebook and ask for nudes video calls  little did I have any knowledge that he will was cheaterNow he is asking money or else he will leak my videosSir I am very worried so please help me
Any Other Cyber Crime,Other,"I have downloaded the app  months back du to financial krunches
received loan on rd january  i have called their customer care but it was not recheable but i have some how found the customer care no he said i ready to help u have given me the bank account and said to transfer Rs  I said will transfer through your credit bus app he said no I went to police station Officer said ignore dont transfer money Today ie on  feb  he called my friend vivek and said he will upload my wifes nude picture call received "
Online Financial Fraud,EWallet Related Fraud,"I was debited in my wallet amount of  total
only punjab electricity bill  
they are calling me and ask otp but i didnt give the otp then after ten minit in my wallet amount are debited around  rupees 
kindly request if amount refunded i will always indebted to you"
Online Financial Fraud,Internet Banking Related Fraud,"This is to inform you that on date   PM one transaction of Rs through  transaction detail INB IMPSPAXXXXXXXRATN eCHQMOAFWPVPA has done by some unauthorized person by my SB Ac No   I have not done such transaction  I have already blocked my net banking as well as UPI with SBI Customer Care which complaint no is   I have also reported of this to cyber crime with complaint no 

Kindly look and arrange to credit the said amount in my account as earliest"
Online Financial Fraud,Internet Banking Related Fraud,"Name  rasidh mohamad  
Addresh 	babaicha 
Pin code   
PS  gegal 
Dist  ajmer
Email  argmailcom
Bank  induslnd bank
Account no  
suchna karta ne btaya hai ki unhone date  ko  pm per call kiya tha castmer care ko or suchna karta ko otp share kiya gya jisse unke account se      rupee   total   rupee kat liye gye 

frouder no  "
Any Other Cyber Crime,Other,Inhone mujhe  din ka project diya jisme mujhe  Pages  din mai type kr k dene the Wo mene de diya ab inhone mujhe kaha ki aap ne  form rong submit kiye hai jo ki form kon se hai yai bhi nhi bata rahe Or  pay krne k liye bol re hai Aur kaha agr nhi kiya to  something ka dabha thokenge Aur is chij k liye yai log lagar mujhe  baar call kr chuke hai
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Today one online fraud happed with my card Rs  money got detected One call came on my register mobile asked me to send OTP which came on mobile no For increase credit card limit by sharing OTP money got deducted
Online Financial Fraud,UPI Related Frauds,message received from unknown person for updating the bank documents after that he updating the documents then immediatly withdrawn the money from his account
Online and Social Media Related Crime,Cheating by Impersonation,"Myself Shri Sunil Kumar Secretary Ministry of Panchayati Raj  Want to report social media fraud
Somebody using my photo DP in Whats App mobile number  and calling my colleague Shri Sangwan in Ministry of Panchayati Raj  This mobile number is not mine and this is a fraud"
Online Financial Fraud,Internet Banking Related Fraud,"FRAUD THROUGH INTERNET BANKING 
		 
BANK   CANARA BANK 

 	
ACCOUNT  NUMBER 

TOTAL AMOUNT  

PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPIGOOGLE PAY
BANK  INDIAN BANK
 TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Any Other Cyber Crime,Other,The person kept video calling me and she was nude herself after rejecting the call thrice i indulged with the act and she screen recorded and threatened to share the video to my friends and family I blocked her on whatsapp and deleted all the chats
Online Financial Fraud,Internet Banking Related Fraud,deducted  an amount of Rs  from an SBI AC 
Online Financial Fraud,Fraud CallVishing,I got a call from  to my number  and the fraud person told me to install anydesk software for netbanking purposes he told and as per that i installed after which there were several transactions came on my phone which showed Rs  has been deducted from my SBI account  on  and hence i want that money from that fraud at earliest so kindly do the needful
Any Other Cyber Crime,Other,I have taken loan from different online apps by uploading my relevant documents but they did not give my loan agreement and even they give loan for  days or  days only but in Google Play Store they mentioned loan for  days They cheated us like that But after  days I was unable to pay the loan amout but they tripled the repayment amount and still keep increasing They even hacked my phonebook and called my relatives I also worried that they might misuse my documents for any illegal work If any such incident happens I am not liable for that
Any Other Cyber Crime,Other,"Dear Sir 
This is regarding my Credit Card Payment not reflecting
On th Nov I made a payment of Rs  for credit card ICICI American Express  bill payment thru Amazon Pay This is my friend card That payment was not credited into the credit card account  amount successfully debited from my account but till date it is not credit into credit card account  not refunded also
Transaction Details as maintained below
Mode of Payment Amazon Pay 
Date of Transaction th Nov
Payment from account Number 
Name of the other Bank ICICI Bank 
Payment Amount 
Transaction No BILONLAMAZON PAYamazonin
From Amazon payments transaction no  
	
Additional information
Payment ID 
Biller Registration Detail AMAZONIN
Bill Reference Information AMAZON PAY INDIA PRIVATE LIMITED

Sir many times I wrote mail to Amazon  ICICI Bank for this issue but till date they did not resolve my issue
ICICI bank Complaint No  SR
Amazon Complaint no  
As per amazon pay successfully done  as per ICICI Bank amount successfully transfer to Credit card account but pay not reflecting in Credit card account
Sir request you please do the needful 
Enclosed date as listed below
Payment Detail  Amazon
Bank Statement
Credit Card Statement  Nov
Credit Card Statement  Dec

Thanks  Regards
Mukesh 
"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"I would like to introduce myself as Sathish Kumar Manoharan from erode Tamilnadu For past two days i have been targeted by the blackmailers for a sex video chat I am currently pursuing higher studies in Germany

On  around  pm I received a message from the Facebook account from a gilr named Divya Surma As I was not aware of this scam they took somehow mobile number from facebook In minutes later received a video call from an unknown number I saw a nudegirl on the other side of the call  I dont what was happening I cut the call suddenly In ten minutes later i got a recorded video of me watching the nude girl  I was totally shocked They started sending the video to my Facebook friends and kept asking for money I sent them the money they asked  rs They kept asking more money i paid them untill  rupees They kept asking money and didnot give me time to respond I have sent the money to their account number as

Account details of spammer payment details attached
Account number 
IFSC Code HDFC

Mobile numbers of the spammer call history attached



After two days again they started blackmailing me from another number 


I have deactivated my Facebook account with mail id sathishmanoukgmailcom and user name sathish mano I have also deleted and blocked all the chats with them Kindly help me to file a complaint and as I am in Germany I cannot come in person"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI Fraud	
BANK NAME  State Bank of India	
 ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI Fraud	 GOOGLE PAY  
BANK  Union Bank of India including Andhra Bank and Corporation Bank	
ACCOUNT NUMBER   
TOTAL AMOUNT 	
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
 "
Online Financial Fraud,Internet Banking Related Fraud,"namesultan singh dist bharatpurpschiksana pincode
suchnakrta ne phone pay no
ac noPNB bank
total amountrs  date

tidtutr notimeamamountrs
tidtutr notimeamamountrs
refrance noamountrs
refrance noamountrs
refrance noamountrs
refrance noamountrs

  suchnakrta ke pass itni hi jankari h suchnakrta ke pass ek no se call aaya or suchnakrta ko reword ke liya bola gya or suchnakrta ke rupee kar gye
"
Online Financial Fraud,UPI Related Frauds,upi fraud
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI  PHONE PE 
BANK  CENTRAL BANK OF INDIA

ACCOUNT NUMBER   
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION

"
Online Financial Fraud,UPI Related Frauds,The fraud is through paytm in  installment k k and k firstly call me and then tell me that am your father friend plese confrm the paymnt of  through paytm i transfer to you whn i go to cnfrm that my amount has been deducted whn i asked to him he told me that the amouny is stuck nd do it again whn i did that it will hapeen again
Online Financial Fraud,UPI Related Frauds,"Dear Sir
Kindly stop the fraudulent transaction and refund it to source account

Regards
"
Online and Social Media Related Crime,Profile Hacking Identity Theft,"Dear Sir
Some froud agencyies hacked my mobile all contacts details and profile pictures and using them to make froud and using to play my reputation very  badly and contacting my all contacts to asking money and using badd words these are such froud apps like rupee way ruppee boxloan pool wow loan they giving money greed and hacked data of all contacts whih has accpected that access
kindly do needful"
Online Financial Fraud,UPI Related Frauds,Person is calling me from diffrent numbers and threatning me by sending my contact list details my pan card and saying that he will messagecall my contacts and will recover money from them Even after paying him rs he still using very bad words and asking more money He called me from   diffrent numbers till now Please look into the matter and please please take action against this person as he is harrassing me mentally
Any Other Cyber Crime,Other,                 IMEI NO   IMEI NO         
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Identity theft   Fake Customer Care Service Fraud   Google
as victim sum product was not delivered so they searched in google for customer services of the amazon later on a person came into contact and asked to install quick desk app later on he had sum otps victim enclosed them later on amount was debited                                                         "
Online Financial Fraud,Internet Banking Related Fraud,"Name  Rohit Marwah
Father Name  Ashok Kumar Marwah
Bank Name  ICICI Bank
Account No  
Aadhar Card No  
Transiction No   
Date  
FRAUD "
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"sir watsaap pr lone due krke link aaya uspr ok krne pr rupee cash app dwonload ho gyi  jisme mane detils feel kri to  rupee mere accunt me aa gye jiska mane  din me  pay kiya
lekin pay krne kekuch din baad bina meri  permison ke  or  rupe mere accunt me daal diya or  din me  or  krne bolo nhi krne pr contact list pr call sms ki damki dene lge fab ko mane pay kiya lekin wo unhone app me update  nhi kiya 
issi trh maval app sebi  ka lone liya jiska mere accunt me aaye mane  din me  krke  jama kiye lekinwo log din baad wapes 
maagne lge
nhi jama dene pr ye log meri contact list pr call or watsapp pr gaaliya de rhe h ye log na koi lone agreement dete h nakoi RBI ka rule follow krte h
ab yedamki deke badname krke paise vasul kr rhe h dene ke baad bi update nhi kr rhe
muje or meri family ko badname kiya ja rha h gaaliyadi ja rhi isse muje manshik preshani jhelni pad rhi 
ye log mere contact  list chori krke aadhrcard pancad ka galt use le sakte 
roj new new no se callsmsaa rhe h relatives kepass gaaliya di ja rhi 
in apps ke kilaf uchit kadam utaye sir"
Any Other Cyber Crime,Other,I have booked product on the website offerseazcom on  and paid full amount through online transaction Delivery of product was expected on next day but even after  days I have not received my product When I tried to call on their contact number I found that this number is not in exist when I tried to contact them on their email id supportofferseazcom emails are not getting delivered I found that one more website OPENKARTZcom also showing same advertisements on online I have attached all necessary documents here
Online Financial Fraud,UPI Related Frauds,"If possible then Stop this person and bank account freeze as soon as possible too much money asking and this person is very bad and calling number is   
So please block this account as soon as possible"
Any Other Cyber Crime,Other,I dont have any relationship with IDFC Bank My number and address has been misused as a reference without my knowledge for one of the loans in IDFC and that loan is defaulted it seems I have not shared my address or number or signed in any of the loan documents as well I am getting continuous threatening calls asking for loan repayment Even if I tell them that I am not related to the loan your collection agents are threatening me stating they will come to home and abusing me with bad words My entire family is mentally disturbed because of this unwanted torture Please help me on this issue or please let me know whom to reach for this issue My number  I have received threatening messages from other number and have reported that to WhatsApp
Online Financial Fraud,UPI Related Frauds,dear sir ye whatsapp pe link veja tha to maine uspe click kiya uske bad ek whatsapp group me dal diya logphir ushme bahut type ka offer aa raha tha jaishe ki  ka contenor kharido or persent extra per day withdrawl kroush company ka name maersk tha
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I am getting regular loan recovery harrasment calls from different numbers from so many unknown apps such as asan loan clear loan maya cash cash bus silver pocket and many more different names these fraudsters have hacked my contacts they are sending morphed or edited naked pictures to my contacts and day by i am loosing my self confidence and also social image has spoiling with friends and relatives I have attached bank account details of one of those fraud gang person I hope you will be able track those gang with that help
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  PHONE PE UPI
BANKCANARA BANK
AC  NUMBER  
TOTAL AMOUNT 	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Any Other Cyber Crime,Other,"I was browsing OLX for a secondhand iPhone then I saw one ad claiming to provide a brand new iPhone  for INR  and the back story was that these iPhones are directly imported from Dubai customs

I tried to probe the guy some more from his way of talking as I am from UP state his accent was of East UP Bihar so it was fishy for me since the start

That guy provided me with this website wwwimaginestoreorg als

He provided me a GST number here it is   AADCIMZB



When I finalized the deal with him he asked me for the booking amount and said the product will be delivered to you within  days 

He even provided me with the same bank account details 

Paytm number

Name Imagine private limited

Bank Name  State Bank of India SBI
Account No  
IFSC Code  SBIN
Holder Name  Mr Gandharba Mahakur"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Facebook arrasment from unknown person She was asking Money blackmailing she was messaging me to Facebook n took avedio in nude n that vedio forwarded to all my friends in Facebook She was asking me to money
Sexually Explicit Act,,"Hello Sir

    my name is Shravani Harshal Ramdasi from Amalner  once I applied for loan on application from play store and i took loan of Rs  from that application and its due date was of  days from loan taken we paid on time but after some days of payment some people send me messages on whats up  as well as calls from alternate numbers demanding huge amount of money and if i refuse to pay again they started abusing me on calls as well as on whatsapp from alternate numbers Firstly I ignored those messages and calls but there language is too dirty day by day and they are sending messages to my contacts as they have access in my contact list I called on those numbers and said that i have already paid all the dues but they do not listen to me After twothree days unknown messages from unknown application threatened me to pay our loan before pm everyday and they said that if we are not paying amount to them then they send abusing messages to our contacts relatives as well as they threatened me about fake dirty information of me 
Please sir kindly pay attention to it and take action as soon as possible As i am unable to handle all this fake messages and calls  i request you to take strict action against them"
Online Financial Fraud,Internet Banking Related Fraud,"Caller has lost his amount from facebook app by purchasing the furnitures 
 Buy and Sell Mysore  Selling business through IMPS and by phone they were telling that the corg is in dispatch center and you have to pay the said amount and the cargo will be dispatch  like this they were say i statareted puting amount to they by this i funded  lakhs to them  hence i request your good self to kindly provide the ammount which i have lost"
Online Financial Fraud,UPI Related Frauds,"Dear Team 

I have received fraud collect request from phone pay and amount deducted from my account twice of amount rs  twice 
 I have attached all the transaction details and screenshot also attached 

Both transaction Id as follows

  T
   T


Please help me to refund my amount as I have only those mony after  months of saving and my children admission will be pending"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  GOOGLE PAY
BANK STATE BANK OF INDIA 
ACCOUNT NUMBER   
TOTAL AMOUNT  						
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINANT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,UPI Related Frauds,"She is saying she invester 
She saying invest your money in crypto trading i will give you profitthan she saying give security deposit i will transfer your profit in your account than saying give  gst than your money will transfer to your account"
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I complent morning but i cant stop they are tourcher from cash bus loan fortune so from  th jan rbi setting new team fintech and please help us immediately otherwise like me more people will going to sucide
Sexually Obscene material,,He is threatening me And said he will upload my bhabhi personal pics and will send to all my relatives He was saying he was her bf and wants to destroy her image Or if tried to blackmail me I request you to take a strict action before he could do anything wrong  This all things only known by me So I want to keep it confidential Thank you
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I Shreyansh Jain aged  resident of B Jain Nagar Meerut Uttar Pradesh have received a video call on  AM on  March  from an unknown number ie  I mistakenly picked up the call on the pretext that it might be from my known relative or friend It is pertinent to mention that just after picking the call an unknown girl in nude position was visible on my device ie mobile At the same moment I disconnected the video call Thereafter I am constantly receiving the blackmailing messages voice notes and whatsapp voice calls Offender is asking for amount of INR  or otherwise will postshare the recorded videos on online portals such as Instagram Youtube Facebook etc Offender is also providing payment information for the same ie hisher GooglePay Number ie  I have even received confirmation messages and calls from my relatives and friends that the offender has shared such videoimage with them I request the authorities to please take cognizance of this heinous offence as soon as possible as it is defaming my personality with the public at large
Any Other Cyber Crime,Other,Sir enhone mujhse bola tha ki aapki job lg gai h i digo mai or uske ley aapko trani g krni hogi jiske ley  rs ley mere se or abtk ye log na to job dey mujhe or na hi mera paisa waps key sir pls aap mera paise refund krwa dejey pls
Any Other Cyber Crime,Other,On  at  am i got sms messages from india post about some registered letter has been booked in my name and again on  i got sms messages of delivery of said letters I am no way connected with contains of those letter in which involvement of some fraudulent person which should be located at earliest
Online Financial Fraud,EWallet Related Fraud,A random transaction got placed from my amazon aacount which was about PlayStation Voucher Codes It was delivered through Email I dont own a PlayStation and those voucher codes are of no use to me I made a comploaint to Amazon but they denied providing resolution by saying that they cannot do anything in this matter and I have to talk to the seller I even contacted the seller and the seller too refused to cancel the order and refund the amount back as it was email delivery  The order was not placed by me This incident happened at  AM at night and I was asleep and nobody was using the mobile at that time This was automatically ordered from my account Even the codes provided to me are the used codes as they are not getting redeemed too while redeeming it says that these codes are already redeemed The order got placed using my Amazon Pay Later service and it exhausted my transaction limit by placing these orders Please provide some solution to this as to how can I get my refund back as those codes are of no use to me and it was not at all ordered by me too
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGH   DEBIT MASTER CARD  
BANK STATE BANK OF INDIA 
ACCOUNT NUMBER   
TOTAL AMOUNT  						
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINANT ACCOUNT AND TAKE NECESSARY ACTION"
Cyber Attack/ Dependent Crimes,Hacking/Defacement,"This all happened a few days after I accidentally clicked on a strange link on social media. I didnâ€™t think much of it until things started going wrong. The next thing I knew, people were calling me asking if I had sent them strange messages, and I hadnâ€™t touched my phone all day. Itâ€™s hard to explain, but it felt like someone was inside my account, doing things while I wasnâ€™t even online. The more I tried to fix it, the more problems came up. My bank account was hackd, and then I got locked out of everything. I feel so helpless, like thereâ€™s nothing I can do to fix this. No matter how many times I change my password, itâ€™s like someoneâ€™s always one step ahead. Even my laptop isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Any Other Cyber Crime,Other,"My Father received a message given below      
  Dear Customer Your AEPS Cash Withdrawal transaction for account number XX with SBI is successful and debited with Rs   on    AM RRN SBI  and the amount has been debited with out our knowledge"
Hacking  Damage to computercomputer system etc,Email Hacking,"Dear Team 
Someone is trying to hack my gmail preamversh gmailcom id since last one week i recovered my mail id many times but still its not secure please check and make a note of this to avoid further damage"
Online Financial Fraud,UPI Related Frauds,                                                                QR CODE                                                                      
Any Other Cyber Crime,Other,he calls me again and again and blackmailing me about viral video and telling me about money  he is totally harras me ASAP pls do some action and solve my problem it may  be some blackmailing group
Online and Social Media Related Crime,Profile Hacking Identity Theft,Sir please help me koi mera personal details hack kar liya hai evm mera sare contacts me mere details bhej raha hai like mera aadhar card and pan card number and my personal data pse mujhe help Karo wo log bad languages use karte hai evm mujhe pareshan karte hai
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"SIR                                                                              
                                                                               
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                       PLS HOLD THIS AMOU"
Online and Social Media Related Crime,FakeImpersonating Profile,"Someone is haked my sister account

Please deactivate this as soon as possible
He is try to influence my followers that my real account is fake
Nd try to mentaly toucher me
"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Sir I am a mehendi artist they called me for mehendi order and said that they will pay advance now like this they cheated me and they deducted  from my account and i am not aware of reporting in this portal now only i came to know about this from my friend and filed a complaint now
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH Phone Pe
BANK NAME 	BANK OF BARODA 
 ACCOUNT NUMBER       
TOTAL AMOUNT   
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,EWallet Related Fraud,CALLED FROM MOBILE NO  and asked to open phone pe and asked to send  rs and then I recieved  rs after that he automatically debited  INR and  INR and after the fraud he asked me to share my pan card and adhar details which I have not shared
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,Internet Banking Related Fraud,"name  akash  district  sawai madhopur  ps sadar swai madhopur  pincode    suchnakrta ke ac no    indian post payment bank  
forder ke no     
frod by direct bank  total amount   
  
pm   id    
pm   id   
pm  id    
suchnakrta ne btaaya ki unke pass call aya or suhcnakrta ko otp bheja jise suchnakrta ne share kr diya or pese cut gye h "
Online Financial Fraud,UPI Related Frauds,online Banking 
Online Financial Fraud,Internet Banking Related Fraud,caller informed that he recived the sms in that one link he opened that link finally he lost rs
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards"
Online and Social Media Related Crime,Cheating by Impersonation,Srikant Kumar Mobile   was selling his furniture on facebook group  Pune Second hand furniture  I contacted him for Refrigerator and dining table on watsapp He did not allow me to come to his place and check the items he took my address and said he has dispatched the items He also said incase I do not like the items I could return them on arrival and I would get my entire money back at my door step He also sent a Bilti of  Indian Army Transport parcel department  He even sent his ID card details to prove that he is from the Indian Army I believed him and sent him Rs Using Gpay But I never received any of the items as promised I also received multiple phone calls from Mobile  saying he is from the transport department of army and he asked me to send Rs many times They also took my Adhar card PAN card and bank account details saying he will refund my money I even received an Adhaar authentication OTP which Srikant asked me to share with him so that he can refund my money I have been Harassed by their phone call multiple times Request you take strict action against them
Online Financial Fraud,EWallet Related Fraud,They have taken  from me and my friends and told that you will get  profit on amount and you will be able to withdraw the profit next day but they have deleted the telegram group and My total amount of giving is  from me and my friends And other people who have invested in HPS EXCHANGE is more Please take quick action against it because many people have investment in it
Any Other Cyber Crime,Other,"Account details Name  SHRI MATA VAISHNO DEVI SHRINE BOARD
Account Number  
 IFSC CODE SBIN
Bank Name  STATE BANK OF INDIA


Mobile number   

Website httpsmatavaishnodevishrineboardin

total fraud"
Online Financial Fraud,UPI Related Frauds,FINANACIAL FRUAD
Any Other Cyber Crime,Other,I contacted with a person having a contact number  and  I purchased some products from that person after purchasing the products i totally paid Rs to that person after making the payment the person did not deliver the product to me after that when i asked for delivery the person again asked me to pay some more amounts and when i denied the person threaten me with filthy language
Online Financial Fraud,Internet Banking Related Fraud,"Hlo sir 
    online fraud              mobile number   documents aadhar or Pan  airtel payment bank account open    KYC     number   account open     
     missuse   "
Online and Social Media Related Crime,FakeImpersonating Profile,"Onecustomer has reported that he has received a message  Dear customer your SBI bank account has been put on HOLD Plz Update your Document visit SBI website httpsonlinesbikycin  from an unknown mobile no 
Fraudulent site is still onneeds to be taken down"
Online Financial Fraud,Internet Banking Related Fraud,"I ordered an item in Kit on this site notgoodshop  through facebook ads i found it
Amount debited rs but order status is showing  amount to be paid but the amount is already paid and site shows nothing The website is fraud"
